"city","temperature_c","feels_like_c","humidity","pressure_hpa","wind_speed_mps","wind_degree","weather_description","timestamp"
"London","13.62","12.89","71","1018","5.14","260","clear sky","2025-03-27 16:46:30"
"Glasgow","12.39","12.03","90","1005","9.26","190","light rain","2025-03-27 16:46:30"
"Blackpool","14.39","13.87","76","1013","9.77","220","few clouds","2025-03-27 16:46:30"
"Greenock","12.15","11.82","92","1003","7.36","208","moderate rain","2025-03-27 16:46:30"
"Lagos","31.24","35.36","60","1006","4.59","199","overcast clouds","2025-03-27 16:46:30"
"Cornwall","4.34","0.2","45","1021","5.66","210","clear sky","2025-03-27 16:46:30"
"Reading","13.04","12.38","76","1018","3.58","240","clear sky","2025-03-27 16:46:30"
"Manchester","14.42","13.61","65","1014","6.17","230","overcast clouds","2025-03-27 16:46:30"
"Birmingham","20.15","19.27","40","1026","3.58","73","broken clouds","2025-03-27 16:46:30"
"Liverpool","14.3","13.59","69","1013","9.26","210","broken clouds","2025-03-27 16:46:30"
